Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Hargrave,619,France,Female,42,2,0.0,1,Yes,Yes,50-75K,Yes
Hill,608,Spain,Female,41,1,83807.86,1,No,Yes,50-75K,No
Onio,502,France,Female,42,8,159660.8,3,Yes,No,50-75K,Yes
Boni,699,France,Female,39,1,0.0,2,No,No,50-75K,No
Mitchell,850,Spain,Female,43,2,125510.82,1,Yes,Yes,50-75K,No
Chu,645,Spain,Male,44,8,113755.78,2,Yes,No,50-75K,Yes
Bartlett,822,France,Male,50,7,0.0,2,Yes,Yes,0-20K,No
Obinna,376,Germany,Female,29,4,115046.74,4,Yes,No,50-75K,Yes
He,501,France,Male,44,4,142051.07,2,No,Yes,50-75K,No
H?,684,France,Male,27,2,134603.88,1,Yes,Yes,50-75K,No
Bearce,528,France,Male,31,6,102016.72,2,No,No,50-75K,No
Andrews,497,Spain,Male,24,3,0.0,2,Yes,No,50-75K,No
Kay,476,France,Female,34,10,0.0,2,Yes,No,20-50K,No
Chin,549,France,Female,25,5,0.0,2,No,No,50-75K,No
Scott,635,Spain,Female,35,7,0.0,2,Yes,Yes,50-75K,No
Goforth,616,Germany,Male,45,3,143129.41,2,No,Yes,50-75K,No
Romeo,653,Germany,Male,58,1,132602.88,1,Yes,No,0-20K,Yes
Henderson,549,Spain,Female,24,9,0.0,2,Yes,Yes,0-20K,No
Muldrow,587,Spain,Male,45,6,0.0,1,No,No,50-75K,No
Hao,726,France,Female,24,6,0.0,2,Yes,Yes,50-75K,No
McDonald,732,France,Male,41,8,0.0,2,Yes,Yes,50-75K,No
Dellucci,636,Spain,Female,32,8,0.0,2,Yes,No,50-75K,No
Gerasimov,510,Spain,Female,38,4,0.0,1,Yes,No,50-75K,Yes
Mosman,669,France,Male,46,3,0.0,2,No,Yes,0-20K,No
Yen,846,France,Female,38,5,0.0,1,Yes,Yes,50-75K,No
Maclean,577,France,Male,25,3,0.0,2,No,Yes,50-75K,No
Young,756,Germany,Male,36,2,136815.64,1,Yes,Yes,50-75K,No
Nebechi,571,France,Male,44,9,0.0,2,No,No,20-50K,No
McWilliams,574,Germany,Female,43,3,141349.43,1,Yes,Yes,50-75K,No
Lucciano,411,France,Male,29,0,59697.17,2,Yes,Yes,50-75K,No
Azikiwe,591,Spain,Female,39,3,0.0,3,Yes,No,50-75K,Yes
Odinakachukwu,533,France,Male,36,7,85311.7,1,No,Yes,50-75K,No
Sanderson,553,Germany,Male,41,9,110112.54,2,No,No,50-75K,No
Maggard,520,Spain,Female,42,6,0.0,2,Yes,Yes,20-50K,No
Clements,722,Spain,Female,29,9,0.0,2,Yes,Yes,50-75K,No
Lombardo,475,France,Female,45,0,134264.04,1,Yes,No,20-50K,Yes
Watson,490,Spain,Male,31,3,145260.23,1,No,Yes,50-75K,No
Lorenzo,804,Spain,Male,33,7,76548.6,1,No,Yes,50-75K,No
Armstrong,850,France,Male,36,7,0.0,1,Yes,Yes,20-50K,No
Cameron,582,Germany,Male,41,6,70349.48,2,No,Yes,50-75K,No
Hsiao,472,Spain,Male,40,4,0.0,1,Yes,No,50-75K,No
Clarke,465,France,Female,51,8,122522.32,1,No,No,50-75K,Yes
Osborne,556,France,Female,61,2,117419.35,1,Yes,Yes,50-75K,No
Lavine,834,France,Female,49,2,131394.56,1,No,No,50-75K,Yes
Bianchi,660,Spain,Female,61,5,155931.11,1,Yes,Yes,50-75K,No
Tyler,776,Germany,Female,32,4,109421.13,2,Yes,Yes,50-75K,No
Martin,829,Germany,Female,27,9,112045.67,1,Yes,Yes,50-75K,Yes
Okagbue,637,Germany,Female,39,9,137843.8,1,Yes,Yes,50-75K,Yes
Yin,550,Germany,Male,38,2,103391.38,1,No,Yes,50-75K,No
Buccho,776,Germany,Female,37,2,103769.22,2,Yes,No,50-75K,No
Chidiebele,698,Germany,Male,44,10,116363.37,2,Yes,No,50-75K,No
Trevisani,585,Germany,Male,36,5,146050.97,2,No,No,50-75K,No
O'Brien,788,France,Female,33,5,0.0,2,No,No,50-75K,No
Parkhill,655,Germany,Male,41,8,125561.97,1,No,No,50-75K,Yes
Yoo,601,Germany,Male,42,1,98495.72,1,Yes,No,20-50K,Yes
Phillipps,619,France,Male,43,1,125211.92,1,Yes,Yes,50-75K,No
Tsao,656,France,Male,45,5,127864.4,1,Yes,No,50-75K,No
Endrizzi,725,Germany,Male,19,0,75888.2,1,No,No,20-50K,No
T'ien,511,Spain,Female,66,4,0.0,1,Yes,No,0-20K,Yes
Velazquez,614,France,Male,51,4,40685.92,1,Yes,Yes,20-50K,No
Hunter,742,Germany,Male,35,5,136857.0,1,No,No,50-75K,No
Clark,687,Germany,Female,27,9,152328.88,2,No,No,50-75K,No
Jeffrey,555,Spain,Male,33,1,56084.69,2,No,No,50-75K,No
Pirozzi,684,Spain,Male,56,8,78707.16,1,Yes,Yes,50-75K,No
Jackson,603,Germany,Male,26,4,109166.37,1,Yes,Yes,50-75K,No
Hammond,751,Germany,Female,36,6,169831.46,2,Yes,Yes,20-50K,No
Brownless,581,Germany,Female,34,1,101633.04,1,Yes,No,50-75K,No
Chibugo,735,Germany,Male,43,10,123180.01,2,Yes,Yes,50-75K,No
Glauert,661,Germany,Female,35,5,150725.53,2,No,Yes,50-75K,No
